x,y,z,tiji,biaomianji
5.522,5.54,3.838,15.42917563,187.6269871
3.939,3.053,2.495,6.094011077,70.95926889
4.627,5.162,2.868,9.229363515,124.1970864
2.376,3.128,2.091,2.724515146,39.45711945
3.004,2.807,2.384,3.954188007,65.44451602
1.99,2.219,1.582,1.016032806,19.09033862
3.698,2.482,2.111,3.087985387,35.2908056
2.915,2.604,3.497,4.248376293,51.33072072
1.813,1.819,2.787,1.3801261,20.92274917
2.148,1.956,3.154,2.291387827,28.90587976
3.204,2.947,3.106,4.52911785,50.99988849
2.665,2.616,2.823,2.655587822,39.85021801
2.613,2.868,2.284,2.274118059,31.46343452
2.445,2.636,2.468,2.4249858,43.35154968
2.885,2.42,3.005,4.110183966,43.27773513
1.797,1.775,2.503,1.005437181,17.0417524
2.412,3.2,3.548,3.505484415,38.70880259
2.62,2.748,3.44,3.003488633,32.82182764
2.52,2.879,3.466,2.864816242,27.89203848
3.723,3.162,3.091,7.045680659,74.55132085
2.9,2.695,3.658,1.831225817,27.9351721
2.342,2.66,3.466,2.63789061,32.60423204
1.717,2.035,2.429,1.166082138,14.33244005
1.799,1.905,2.853,1.409775381,19.81747374
1.39,1.512,2.974,0.705405796,10.68022082
2.645,2.007,3.181,1.956923266,32.3169887
2.267,2.764,3.018,2.857827098,29.7345401
2.076,2.013,2.011,1.681499197,21.02104127
2.832,2.587,3.577,4.107436893,44.67393771
2.127,1.999,2.91,1.475644122,20.52002115
3.015,2.255,3.128,2.477226,40.52014067
3.103,2.522,3.448,4.000284536,48.17797561
2.97,2.318,3.334,4.062303438,51.45889496
2.094,2.224,1.804,1.279636606,20.78616428
2.84,2.849,2.543,3.293141938,52.39330312
2.373,1.517,2.814,1.065038843,23.31830667
2.554,2.009,2.667,1.713899859,23.89199882
2.185,2.321,2.317,1.623623897,23.13503223
2.3,2.197,3.391,2.494722873,27.99291484
2.572,2.702,3.014,2.753440019,37.76328853
2.765,2.21,2.635,2.647788621,35.00572358
2.436,2.674,3.142,3.980362917,47.52935035
2.219,2.32,2.937,1.862738459,27.20963461
2.352,2.364,3.384,2.775280905,35.85045276
1.89,2.08,2.678,1.979265836,24.25319642
2.579,3.157,2.532,3.696334178,35.83731476
3.138,3.015,3,4.55144353,57.79607099
3.144,2.954,2.403,3.714938788,47.83485125
2.127,2.485,2.097,1.97963634,24.81973391
3.209,3.357,2.18,5.185291353,57.75124918
2.386,2.519,1.911,2.648526735,30.61431628
2.926,3.073,2.712,2.594390467,37.24154024
1.435,1.682,2.007,0.797585799,9.320792722
1.89,2.08,2.678,1.979265836,24.25319642
1.267,1.185,2.207,0.596783796,8.643240101
2.385,2.315,2.297,1.994873905,24.36174616
2.564,2.17,2.181,2.064041439,28.22479388
1.212,1.115,1.621,0.189846034,4.206972431
3.002,2.584,2.481,2.371591965,35.7935124
2.046,1.712,2.175,1.111109673,16.20315291
3.557,2.226,3.069,3.612440441,39.01800791
1.158,1.277,2.698,0.285336381,7.277914547
1.844,1.764,2.936,1.065388236,16.3354702
2.545,2.315,2.411,2.45614773,31.3522088
2.069,1.96,2.361,1.016074618,16.65411508
1.918,2.283,2.164,2.125951952,24.36434753
3.781,3.736,3.228,6.817789235,93.92777186
2.427,2.49,2.513,2.857420567,33.24110041
2.514,3.055,1.61,1.761698258,26.5554343
2.388,2.31,2.392,2.425592633,33.64386103
3.115,2.124,3.017,2.8843002,38.81342076
2.997,2.856,2.307,2.365457782,28.88592974
1.991,2.126,1.773,0.930634615,12.20266319
3.113,3.868,3.09,4.554499609,43.00782232
3.174,4.222,3.177,7.059182896,65.09965819
2.896,2.687,3.472,3.360549967,46.89663327
4.97,5.132,3.932,13.01752019,181.9048384
1.456,2.663,2.172,0.859574876,14.01432637
3.208,4.123,3.935,9.089757983,95.79587914
2.304,2.431,3.338,4.0435917,54.34466604
2.17,2.072,2.16,1.293072614,29.75619036
1.768,1.691,2.201,0.961551018,15.69111734
2.452,2.497,2.012,1.493275184,29.63234356
2.551,2.79,2.28,2.772885769,32.25713006
2.377,2.195,2.069,1.365923308,21.80462262
2.329,2.797,1.967,2.07502592,31.29687259
2.515,2.62,2.427,2.64513349,42.23655981
3.201,3.628,2.592,4.485138163,61.1753012
1.742,1.974,2.259,0.919077321,15.2882415
2.859,2.616,2.322,2.447916432,34.7050703
2.652,2.752,2.034,2.133756263,35.99815933
2.528,2.202,2.362,1.251005876,25.07001739
2.686,2.029,2.027,1.436319654,23.57337746
2.136,1.992,1.958,1.136519446,19.02466529
2.428,1.873,2.114,1.242687662,23.29461449
2.373,2.577,2.136,1.9673576,28.16381463
2.306,2.44,2.096,1.583665158,23.25320801
2.328,2.566,2.112,1.470539736,24.21830561
2.096,2.101,1.937,0.994324271,19.42439562
2.049,2.242,1.866,1.109068817,18.06116337
2.518,2.28,2.11,1.927861355,29.06226623
2.326,2.642,2.296,1.693957327,27.56112238
2.113,1.635,2.175,1.048631514,16.73716524
1.549,1.539,1.597,0.492560476,9.334866381
2.303,2.242,2.032,1.568572079,19.72338981
2.064,1.788,1.897,0.778407913,14.64073273
2.231,2.039,2.069,1.176528519,20.46347558
2.586,2.822,1.996,2.037937668,28.67546897
2.333,2.147,2.286,1.520530726,28.1890271
2.265,1.98,1.978,1.185114405,21.15336634
2.569,2.427,2.239,1.850418356,29.17110493
2.31,2.598,2.077,1.525499117,30.65619683
2.816,2.016,2.162,1.424177845,23.08809103
3.203,3.16,3.02,6.81693864,86.82486576
2.635,2.957,3.31,4.653468479,68.53474336
2.339,2.198,2.594,1.669773777,28.15344848
3.068,3.35,2.628,3.820846157,55.60768884
2.505,2.46,1.889,2.017530499,25.26555838
3.018,2.952,2.49,3.362075616,59.65881286
3.764,3.485,2.363,5.23547,71.69910271
3.774,3.562,2.38,4.670005,73.82957477
2.431,2.696,2.175,2.064533,40.64331738
3.725,3.748,2.239,4.170376,87.77859243
2.64,2.916,2.21,1.988968,35.96734871
3.013,2.664,2.04,2.670476,45.72069287
3.461,3.963,2.74,6.05367,97.66600375
2.685,3.227,2.586,3.109224,54.11513863
2.676,3.231,2.559,3.52298,54.1820091
3.137,3.043,2.286,4.238268,61.9826601
3.069,2.761,2.107,2.380820863,45.74727679
3.488,3.953,2.671,6.065894476,97.40838021
2.73,3.262,2.466,3.061542124,53.86448474
3.615,3.069,2.334,3.963826098,77.03077546
1.415,1.593,2.025,0.510555633,9.059920429
1.642,1.458,1.886,0.463388665,8.911099417
1.284,1.725,1.976,0.485987691,9.79969046
1.304,1.195,1.607,0.297996473,5.723532503
1.617,1.551,1.852,0.662953166,10.25824997
1.794,1.399,1.621,0.297859196,6.052935098
0.97,1.342,1.347,0.223721157,5.086444214
1.321,1.515,1.973,0.539718055,10.37655936
1.473,2.119,2.691,0.878808148,15.64326331
1.485,1.785,1.997,0.542691604,10.37720263
3.529,4.003,2.497,6.350162082,76.15438467
2.326,2.921,3.211,1.953858,28.49489573
3.83,3.986,3.117,7.732966,71.01032012
2.575,2.885,2.365,2.887867,32.20873769
2.613,2.45,2.711,3.040643,33.52128162
2.244,2.3,2.434,2.760537,34.52102868
2.7,2.848,2.052,3.41209,46.27835068
2.888,2.567,0.833,2.774805,38.64701481
2.495,2.202,2.592,2.321364,30.31277135
2.549,2.486,2.299,2.676732,31.84839162
2.849,2.941,2.573,3.724749,45.6350766
2.681,2.58,2.567,2.63372,35.00963401
2.691,2.421,2.284,2.991569,38.71111281
1.215,1.315,2.573,0.40818,8.328857155
1.294,1.296,2.087,0.32738,6.616749461
0.609,0.87,1.981,0.077934,2.665695305
0.709,0.731,1.546,0.083277,2.228572855
1.391,1.403,2.68,0.734437,10.71246823
0.848,0.877,1.252,0.129566,2.808619708
1.439,1.894,2.485,0.692721,9.701464707
0.537,0.826,2.262,0.096025,2.598736941
0.846,0.823,2.333,0.119131,3.434001998
1.012,1.151,2.443,0.354239,6.990034549
1,0.922,2.599,0.17119,4.555170468
1.519,1.351,2.817,0.499904,9.482774552
0.706,0.855,2.185,0.106587,3.310420647
1.491,1.181,2.446,0.503114,8.523941279
0.983,1.231,2.445,0.218538,5.471918294
1.239,1.338,2.302,0.322077,7.692305004
0.784,0.802,2.165,0.102741,2.925159066
1.389,1.384,2.4,0.31266,7.492117042
1.242,1.117,2.15,0.299105,6.252037139
1.011,1.107,2.379,0.256523,5.499130385
4.568,4.369,3.073,8.227483,118.6493243
2.005,1.822,2.672,1.792182,25.35036052
1.73,2.406,3.174,1.905007,39.00800202
2.316,2.337,2.621,2.177816,31.93685939
